SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
202	1	1	1	1	699.7547	1	0	800	10387.3264	0.0064	0.0993	0.911	1.6307	2.3393	0
202	1	2	1	1	663.2604	56	0	800	10387.3264	0.0064	0.0479	0.8609	1.5807	2.2476	0
202	1	3	1	1	702.5525	1	0	800	10387.3264	0.0064	0.0291	0.8422	1.5619	2.2678	0
202	1	4	1	1	697.6007	1	0	800	10387.3264	0.0064	0.0306	0.8437	1.5634	2.2644	0
202	1	5	1	1	700.2209	1	0	800	10387.3264	0.0064	0.0363	0.8488	1.5686	2.2722	0
202	1	6	1	1	670.3501	56	1	800	10387.3264	0.0064	0.0215	0.8346	1.5543	2.2284	0
202	1	7	1	1	697.854	1	0	800	10387.3264	0.0064	2.2475	3.0605	3.7671	4.4682	0
202	1	8	1	1	527.6638	56	1	800	10387.3264	0.0064	0.0326	0.8457	1.5654	2.0967	0
202	1	9	1	1	685.5398	29	0	800	10387.3264	0.0064	2.1252	2.9386	3.6449	4.334	0
202	1	10	1	1	701.7287	1	0	800	10387.3264	0.0064	0.0271	0.8401	1.5598	2.265	0
202	1	11	1	1	347.2076	29	0	800	10387.3264	0.0064	0.0318	0.8448	1.5646	1.9154	0
202	1	12	1	1	701.3577	1	0	800	10387.3264	0.0064	0.0277	0.8408	1.5606	2.2657	0
202	1	1	2	1	613.6591	56	1	800	10387.3264	0.0064	0.0127	0.8258	1.5322	2.1503	0.0137
202	1	2	2	1	663.7422	29	1	800	10387.3264	0.0064	2.1736	2.9852	3.6916	4.3589	0.0137
202	1	3	2	1	596.1354	56	1	800	10387.3264	0.0064	4.3846	5.1977	5.9044	6.5042	0.0137
202	1	4	2	1	632.391	29	0	800	10387.3264	0.0064	6.5306	7.3436	8.0501	8.6861	0.0137
202	1	5	2	1	698.758	1	0	800	10387.3264	0.0064	0.0331	0.8462	1.5659	2.2679	0.0137
202	1	6	2	1	418.0552	56	1	800	10387.3264	0.0064	0.0282	0.8413	1.5607	1.9833	0.0137
202	1	7	2	1	701.0876	1	0	800	10387.3264	0.0064	2.0005	2.8136	3.5201	4.2245	0.0137
202	1	8	2	1	701.4564	1	0	800	10387.3264	0.0064	0.0227	0.8357	1.5555	2.2603	0.0137
202	1	9	2	1	523.1277	56	1	800	10387.3264	0.0064	0.0251	0.8382	1.558	2.0856	0.0137
202	1	10	2	1	699.6967	1	0	800	10387.3264	0.0064	2.1191	2.931	3.6374	4.3404	0.0137
202	1	11	2	1	544.6323	56	1	800	10387.3264	0.0064	0.0266	0.8396	1.5594	2.1075	0.0137
202	1	12	2	1	431.9274	56	1	800	10387.3264	0.0064	2.1325	2.9456	3.652	4.0876	0.0137
202	1	1	3	1	429.9015	56	1	800	10387.3264	0.0064	0.0127	0.8258	1.5473	1.9811	4.097
202	1	2	3	1	700.538	1	0	800	10387.3264	0.0064	2.0123	2.8252	3.5317	4.2357	4.097
202	1	3	3	1	458.2237	29	1	800	10387.3264	0.0064	0.0221	0.8352	1.555	2.0167	4.097
202	1	4	3	1	698.5085	1	0	800	10387.3264	0.0064	2.0348	2.8479	3.5544	4.2562	4.097
202	1	5	3	1	394.7803	56	1	800	10387.3264	0.0064	0.0221	0.8352	1.555	1.9532	4.097
202	1	6	3	1	495.2203	56	1	800	10387.3264	0.0064	1.9816	2.7962	3.5011	3.9998	4.097
202	1	7	3	1	702.7346	29	0	800	10387.3264	0.0064	4.0208	4.8339	5.5404	6.2468	4.097
202	1	8	3	1	378.0753	56	1	800	10387.3264	0.0064	0.0304	0.8435	1.5633	1.945	4.097
202	1	9	3	1	354.7011	56	1	800	10387.3264	0.0064	1.9632	2.7762	3.4827	3.8411	4.097
202	1	10	3	1	520.2557	56	0	800	10387.3264	0.0064	3.8692	4.6823	5.3887	5.9127	4.097
202	1	11	3	1	655.1113	29	1	800	10387.3264	0.0064	0.0325	0.8455	1.5653	2.224	4.097
