SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
301	1	1	1	1	546.0416	56	1	800	18789.0846	 0.0035	 0.0147	 0.8312	 1.5479	 2.0968	0
301	1	2	1	1	453.7500	29	0	800	18789.0846	 0.0035	 2.1312	 2.9479	 3.6645	 4.1202	0
301	1	3	1	1	538.8557	56	1	800	18789.0846	 0.0035	 0.0300	 0.8633	 1.5799	 2.1207	0
301	1	4	1	1	550.8082	56	1	800	18789.0846	 0.0035	 2.1466	 2.9632	 3.6799	 4.2322	0
301	1	5	1	1	440.6964	56	0	800	18789.0846	 0.0035	 4.2637	 5.0801	 5.7969	 6.2513	0
301	1	6	1	1	699.4327	1	0	800	18789.0846	 0.0035	 0.0284	 0.8450	 1.5617	 2.2630	0
301	1	7	1	1	505.4562	29	1	800	18789.0846	 0.0035	 0.0240	 0.8407	 1.5574	 2.0648	0
301	1	8	1	1	391.2426	56	1	800	18789.0846	 0.0035	 2.0744	 2.8907	 3.6074	 4.0000	0
301	1	9	1	1	609.3347	56	1	800	18789.0846	 0.0035	 4.0241	 4.8407	 5.5573	 6.1677	0
301	1	10	1	1	443.0521	29	1	800	18789.0846	 0.0035	 6.1908	 7.0074	 7.7241	 8.1680	0
301	1	11	1	1	458.6094	29	1	800	18789.0846	 0.0035	 8.1907	 9.0073	 9.7240	10.1837	0
301	1	12	1	1	506.4288	29	1	800	18789.0846	 0.0035	10.2074	11.0239	11.7407	12.2481	0
301	1	1	2	1	493.7063	29	1	800	18789.0846	 0.0035	 0.0125	 0.8291	 1.5458	 2.0408	12.2513
301	1	2	2	1	475.0381	29	1	800	18789.0846	 0.0035	 2.0626	 2.8791	 3.5958	 4.0718	12.2513
301	1	3	2	1	699.4388	1	0	800	18789.0846	 0.0035	 4.0820	 4.8958	 5.6124	 6.3126	12.2513
301	1	4	2	1	525.8470	56	1	800	18789.0846	 0.0035	 0.0198	 0.8365	 1.5532	 2.0801	12.2513
301	1	5	2	1	490.8529	56	1	800	18789.0846	 0.0035	 2.1032	 2.9199	 3.6365	 4.1284	12.2513
301	1	6	2	1	585.1318	29	1	800	18789.0846	 0.0035	 4.1393	 4.9532	 5.6698	 6.2571	12.2513
301	1	7	2	1	372.6648	56	1	800	18789.0846	 0.0035	 6.2699	 7.0865	 7.8032	 8.1771	12.2513
301	1	8	2	1	495.7401	29	1	800	18789.0846	 0.0035	 8.1865	 9.0032	 9.7199	10.2166	12.2513
301	1	9	2	1	469.3266	29	1	800	18789.0846	 0.0035	10.2365	11.0532	11.7699	12.2404	12.2513
301	1	10	2	1	484.7926	29	1	800	18789.0846	 0.0035	12.2532	13.0698	13.7865	14.2723	12.2513
301	1	11	2	1	691.0888	56	1	800	18789.0846	 0.0035	14.2866	15.1032	15.8199	16.5121	12.2513
301	1	12	2	1	393.8530	56	1	800	18789.0846	 0.0035	16.5225	17.3365	18.0532	18.4482	12.2513
301	1	1	3	1	406.9198	56	1	800	18789.0846	 0.0035	 0.0107	 0.8274	 1.5440	 1.9520	18.4509
301	1	2	3	1	416.3582	56	1	800	18789.0846	 0.0035	 1.9774	 2.7939	 3.5107	 3.9280	18.4509
301	1	3	3	1	513.7534	29	1	800	18789.0846	 0.0035	 3.9440	 4.7607	 5.4773	 5.9921	18.4509
301	1	4	3	1	350.3683	56	1	800	18789.0846	 0.0035	 6.0107	 6.8274	 7.5440	 7.8954	18.4509
301	1	5	3	1	554.7756	56	1	800	18789.0846	 0.0035	 7.9107	 8.7273	 9.4441	10.0000	18.4509
