SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
111	1	1	1	1	699.6244	189	0	800	456.9034	 0.0067	 0.0091	 0.8538	 1.5573	 2.2582	0
111	1	2	1	1	699.6371	1	0	800	456.9034	 0.0067	 0.0153	 0.8223	 1.5281	 2.2289	0
111	1	3	1	1	366.2308	90	1	800	456.9034	 0.0067	 0.0082	 0.8145	 1.5210	 1.8885	0
111	1	4	1	1	699.6836	1	0	800	456.9034	 0.0067	 1.8945	 2.6983	 3.4018	 4.1023	0
111	1	5	1	1	457.0317	90	1	800	456.9034	 0.0067	 0.0106	 0.8180	 1.5243	 1.9873	0
111	1	6	1	1	699.6170	189	0	800	456.9034	 0.0067	 1.9936	 2.7974	 3.5003	 4.2007	0
111	1	7	1	1	699.6048	1	0	800	456.9034	 0.0067	 0.0061	 0.8109	 1.5150	 2.2159	0
111	1	8	1	1	699.5626	1	0	800	456.9034	 0.0067	 0.0090	 0.8141	 1.5190	 2.2191	0
111	1	9	1	1	401.4004	90	1	800	456.9034	 0.0067	 0.0095	 0.8137	 1.5181	 1.9201	0
111	1	10	1	1	699.9087	189	0	800	456.9034	 0.0067	 1.9247	 2.7297	 3.4335	 4.1340	0
111	1	11	1	1	699.8520	1	0	800	456.9034	 0.0067	 0.0056	 0.8111	 1.5149	 2.2155	0
111	1	12	1	1	373.3042	90	1	800	456.9034	 0.0067	 0.0052	 0.8106	 1.5146	 1.8886	0
111	1	13	1	1	679.4902	90	1	800	456.9034	 0.0067	 1.8929	 2.6975	 3.4008	 4.0812	0
111	1	14	1	1	699.7997	189	0	800	456.9034	 0.0067	 4.0859	 4.8908	 5.5948	 6.2954	0
111	1	15	1	1	699.7922	1	0	800	456.9034	 0.0067	 0.0054	 0.8097	 1.5132	 2.2136	0
111	1	16	1	1	437.6282	90	1	800	456.9034	 0.0067	 0.0056	 0.8102	 1.5147	 1.9529	0
111	1	17	1	1	699.6514	1	0	800	456.9034	 0.0067	 1.9576	 2.7612	 3.4647	 4.1649	0
111	1	18	1	1	699.9609	1	0	800	456.9034	 0.0067	 0.0052	 0.8099	 1.5146	 2.2151	0
